City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hobart,AU,53.6,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
2,Pasighat,IN,68.74,clear sky,28.07,95.33,Siang Guest House
3,Port Elizabeth,ZA,59.0,overcast clouds,-33.92,25.57,39 On Nile Guest House
4,Bluff,NZ,54.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
5,Mega,ET,59.88,broken clouds,4.05,38.3,Amanuel Guest House
6,Hilo,US,78.8,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
7,Saurimo,AO,68.16,few clouds,-9.66,20.39,Hotel Kawissa Saurimo
9,Kavieng,PG,81.25,light rain,-2.57,150.8,Nusa Island Retreat
10,Lebu,CL,55.76,clear sky,-37.62,-73.65,Hostal Las Lilas
13,Kapaa,US,77.0,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
15,Punta Arenas,CL,53.6,scattered clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
16,Arona,ES,71.6,scattered clouds,28.1,-16.68,Paradise Court
20,Saint-Philippe,RE,69.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
21,Busselton,AU,59.0,clear sky,-33.65,115.33,Observatory Guest House
22,Rikitea,PF,74.79,broken clouds,-23.12,-134.97,Pension Maro'i
23,Itaberai,BR,78.4,moderate rain,-16.02,-49.81,HOTEL ARAGUAIA
25,Carutapera,BR,83.89,few clouds,-1.2,-46.02,Lidera
27,Kahului,US,80.6,overcast clouds,20.89,-156.47,Maui Seaside Hotel
28,Ambilobe,MG,73.24,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
29,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
31,Vaini,TO,73.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Castro,BR,62.24,overcast clouds,-24.79,-50.01,CHACARA BAILLY
34,Guerrero Negro,MX,79.7,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
37,Peniche,PT,57.99,clear sky,39.36,-9.38,Hotel Star inn Peniche
38,Conde,BR,82.4,few clouds,-7.26,-34.91,Pousada Beija Flor
43,Airai,TL,60.49,scattered clouds,-8.93,125.41,Juvinal Martin
47,Mataura,NZ,55.0,overcast clouds,-46.19,168.86,Ellie's Villa
49,New Norfolk,AU,50.0,few clouds,-42.78,147.06,The Shingles Riverside Cottages
51,Cortes,ES,57.2,clear sky,41.94,-1.44,Rincon de bu
52,Bermeo,ES,55.4,clear sky,43.42,-2.72,Eco-Hotel Mundaka
53,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
54,Luang Prabang,LA,69.91,overcast clouds,19.89,102.13,Villa Oasis
55,San Patricio,US,71.6,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
56,Mogadishu,SO,79.72,overcast clouds,2.04,45.34,Hotel Juba
59,Hithadhoo,MV,83.03,few clouds,-0.6,73.08,Scoop Guest House
60,Te Anau,NZ,55.47,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
63,East London,ZA,63.16,heavy intensity rain,-33.02,27.91,Tu Casa
64,Muros,ES,54.0,clear sky,42.78,-9.06,Apartment Av. Castelao
65,Ericeira,PT,63.0,clear sky,38.96,-9.42,HOTEL PEDRO O PESCADOR
67,Katsuura,JP,60.8,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
68,Butaritari,KI,82.06,scattered clouds,3.07,172.79,Isles Sunset Lodge
70,Santa Cruz Do Capibaribe,BR,81.9,broken clouds,-7.96,-36.2,Etiqueta Hotel
71,Soubre,CI,74.89,overcast clouds,5.79,-6.61,Hote Ivoire Soubre
73,Codrington,AU,50.85,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
74,Coquimbo,CL,62.6,few clouds,-29.95,-71.34,Hotel San Juan
75,Tres De Maio,BR,72.43,overcast clouds,-27.77,-54.24,Hotel SABOR e ACONCHEGO
76,Portland,US,61.0,mist,45.52,-122.68,The Bidwell Marriott Portland
77,Dong Hoi,VN,78.46,moderate rain,17.48,106.6,Nam Long Hotel
79,Chuy,UY,60.28,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
80,Veraval,IN,79.68,broken clouds,20.9,70.37,Lords Inn Somnath
82,Corinto,GR,62.01,overcast clouds,37.94,22.96,Ephira Hotel
83,Atuona,PF,77.99,light rain,-9.8,-139.03,Villa Enata
84,Chihuahua,MX,62.6,clear sky,28.5,-106.0,
85,Faya,SA,64.4,clear sky,18.39,42.45,مقبرة ال مجمل
88,Port Alfred,ZA,62.64,light rain,-33.59,26.89,The Halyards Hotel
89,Olot,ES,55.0,clear sky,42.18,2.49,Hotel Riu Fluvià
90,Bambous Virieux,MU,68.0,clear sky,-20.34,57.76,Casa Tia Villa
91,Bathsheba,BB,77.0,heavy intensity rain,13.22,-59.52,Atlantis Hotel
93,Ukwa,IN,64.0,clear sky,21.97,80.47,Chouksey Hotel & Rajat Transport
94,Machilipatnam,IN,77.56,overcast clouds,16.17,81.13,RK Family Restaurant
95,Ulladulla,AU,55.0,broken clouds,-35.35,150.47,Sandpiper Motel
96,Ahipara,NZ,63.64,overcast clouds,-35.17,173.17,Ahipara Holiday Park
97,Saint-Junien,FR,54.0,scattered clouds,45.88,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
99,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
100,Kidal,ML,83.05,clear sky,18.44,1.41,
102,Mananjary,MG,71.46,light rain,-21.22,48.33,Vahiny Lodge
103,Port Lincoln,AU,55.83,broken clouds,-34.73,135.87,Port Lincoln Hotel
104,Maridi,SS,69.46,light rain,4.92,29.47,
105,Ribeira Grande,PT,68.0,broken clouds,38.52,-28.7,Quinta da Meia Eira
108,Porto Velho,BR,82.4,scattered clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
110,Sechura,PE,79.2,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
112,Mutare,ZW,64.81,clear sky,-18.97,32.67,Ann Bruce Backpackers
113,Morondava,MG,77.77,clear sky,-20.28,44.28,La Case Bambou
114,Zaraza,VE,84.69,light rain,9.35,-65.32,Hotel Zaraza
115,Ponta Do Sol,PT,69.8,few clouds,32.67,-17.1,Hotel do Campo
116,Saint-Francois,FR,53.01,overcast clouds,46.42,3.91,Manoir Du Bonheur
118,Bengkulu,ID,75.0,light rain,-3.8,102.27,Grage Hotel Bengkulu
119,Hingoli,IN,69.67,clear sky,19.72,77.15,Hotel RW International
120,Cua,VE,70.0,overcast clouds,10.16,-66.89,Agropecuaria Amparo del Altísimo
121,Caravelas,BR,78.46,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
122,Xuddur,SO,73.83,light rain,4.12,43.89,Banjanay Hotel
123,Denpasar,ID,78.51,overcast clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
124,Japura,ID,74.01,broken clouds,-0.32,102.35,Rumah mbah Jamah
126,Dunedin,NZ,54.0,overcast clouds,-45.87,170.5,Scenic Hotel Southern Cross
127,Grand Baie,MU,68.0,clear sky,-20.02,57.58,Trou aux Biches Beachcomber Golf Resort & Spa
128,Bredasdorp,ZA,53.6,clear sky,-34.53,20.04,Bredasdorp Country Manor
130,Arrifes,PT,69.8,scattered clouds,37.77,-25.7,Hotel Ponta Delgada
131,Rawah,IQ,71.04,broken clouds,34.48,41.91,المملكة الراوية الهاشمية
132,Thinadhoo,MV,83.08,few clouds,0.53,72.93,
133,Kati,ML,80.6,clear sky,12.74,-8.07,samassa la
135,Njinikom,CM,61.54,scattered clouds,6.23,10.28,Providence hotel njinikom
136,Awbari,LY,67.21,clear sky,26.59,12.78,فندق أوباري
137,Nikolskoye,RU,50.0,light intensity shower rain,59.7,30.79,Tourist House - Sablino
138,Ancud,CL,55.4,clear sky,-41.87,-73.82,Hotel Arena Gruesa
139,Koumac,NC,74.52,overcast clouds,-20.57,164.28,Le Monitel
140,Cayenne,GF,87.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
141,Pangai,TO,73.51,clear sky,-19.8,-174.35,Ha'apai Beach Resort
142,Gbarnga,LR,73.94,few clouds,7.0,-9.47,Passion Hotel 2
143,Palanga,LT,51.8,broken clouds,55.92,21.07,"Hotel ""Austėja"""
144,Gat,IL,75.99,clear sky,31.61,34.76,OlusHome
146,Cape Town,ZA,55.4,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
148,Guadalupe Y Calvo,MX,71.15,clear sky,26.1,-106.97,Hotel Pizarro
149,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
151,Krasnoslobodsk,RU,50.0,broken clouds,48.71,44.57,Mini-hotel Na Allee
152,Saint George,US,72.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
153,Aras,ES,57.99,clear sky,42.56,-2.36,Jardines de Viana Spa
155,Georgetown,MY,78.8,light rain,5.41,100.34,Cititel Penang
156,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
157,Nioro,GM,83.19,scattered clouds,13.35,-15.75,
159,Necochea,AR,57.0,clear sky,-38.55,-58.74,dyd -mar Hotel
160,Fortuna,US,70.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
161,Penalva,BR,90.16,broken clouds,-3.29,-45.17,HOTEL MELONIO
162,Businga,CD,69.82,overcast clouds,3.33,20.88,
163,Faanui,PF,80.33,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
164,Betioky,MG,77.36,clear sky,-23.72,44.38,Bungalows Acacias Hotel
165,Tubigan,PH,73.99,overcast clouds,8.53,124.31,Midway Minkay Beach Resort
166,Gunnedah,AU,51.8,clear sky,-30.98,150.25,Gunnedah Motor Inn
167,Guangyuan,CN,59.0,overcast clouds,32.44,105.82,Guangyuan Poetry Hotel
169,Magaria,NE,84.13,clear sky,13.0,8.91,Chez Honorable Chapiou
170,Maputo,MZ,75.99,scattered clouds,-25.97,32.59,Pestana Rovuma
