City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Paamiut,GL,2020-10-27 20:43:22,61.99,-49.67,28.06,85,59,18.28
1,Kapaa,US,2020-10-27 20:43:22,22.08,-159.32,82.0,83,75,8.05
2,Beloha,MG,2020-10-27 20:43:23,-25.17,45.05,69.78,85,0,12.95
3,Arraial Do Cabo,BR,2020-10-27 20:43:23,-22.97,-42.03,77.0,78,0,9.17
4,Mar Del Plata,AR,2020-10-27 20:40:42,-38.0,-57.56,64.4,48,0,11.41
5,Talnakh,RU,2020-10-27 20:43:23,69.49,88.4,-4.38,83,0,5.46
6,Wamba,NG,2020-10-27 20:43:23,8.93,8.6,74.66,53,0,2.8
7,Saint George,US,2020-10-27 20:43:23,37.1,-113.58,59.0,10,1,5.82
8,Atuona,PF,2020-10-27 20:43:24,-9.8,-139.03,79.05,72,2,20.56
9,Vardo,NO,2020-10-27 20:43:24,70.37,31.11,37.4,93,75,9.17
10,Hasaki,JP,2020-10-27 20:39:07,35.73,140.83,51.8,93,20,6.93
11,Litovko,RU,2020-10-27 20:43:24,49.24,135.17,36.23,86,100,3.76
12,Bintulu,MY,2020-10-27 20:43:24,3.17,113.03,77.0,94,40,3.69
13,Minab,IR,2020-10-27 20:43:25,27.15,57.08,69.8,83,0,6.93
14,Butaritari,KI,2020-10-27 20:43:25,3.07,172.79,81.18,66,100,5.99
15,Nikolskoye,RU,2020-10-27 20:43:25,59.7,30.79,53.6,76,75,6.71
16,Alofi,NU,2020-10-27 20:42:27,-19.06,-169.92,69.8,94,90,14.99
17,Ushuaia,AR,2020-10-27 20:43:26,-54.8,-68.3,48.2,39,40,14.99
18,Albany,US,2020-10-27 20:40:03,42.6,-73.97,50.0,59,100,3.29
19,Rikitea,PF,2020-10-27 20:43:21,-23.12,-134.97,75.33,84,100,17.27
20,Busselton,AU,2020-10-27 20:43:21,-33.65,115.33,55.0,97,22,7.92
21,Venice,US,2020-10-27 20:42:01,27.1,-82.45,89.6,59,20,11.41
22,Victoria,HK,2020-10-27 20:39:11,22.29,114.16,77.0,70,55,1.99
23,Berlevag,NO,2020-10-27 20:43:27,70.86,29.09,32.0,81,0,6.93
24,Katsuura,JP,2020-10-27 20:43:27,35.13,140.3,59.0,77,40,8.05
25,Deputatskiy,RU,2020-10-27 20:43:27,69.3,139.9,4.08,94,95,4.32
26,Kruisfontein,ZA,2020-10-27 20:43:27,-34.0,24.73,61.0,91,27,10.56
27,Atasu,KZ,2020-10-27 20:43:27,48.68,71.64,31.21,94,99,14.12
28,Sarakhs,IR,2020-10-27 20:39:22,36.54,61.16,55.4,43,0,2.24
29,San Cristobal,VE,2020-10-27 20:43:28,7.77,-72.22,87.8,55,40,11.41
30,Bodden Town,KY,2020-10-27 20:43:28,19.28,-81.25,87.8,70,40,11.41
31,Jiexiu,CN,2020-10-27 20:43:28,37.02,111.91,50.74,58,100,2.95
32,Praia Da Vitoria,PT,2020-10-27 20:43:28,38.73,-27.07,64.4,68,75,7.78
33,Obra,IN,2020-10-27 20:43:29,24.42,82.98,68.07,48,0,3.27
34,Kaka,TM,2020-10-27 20:43:29,37.35,59.61,48.76,60,0,2.64
35,Bloomfield,US,2020-10-27 20:43:29,40.81,-74.19,60.8,44,1,3.36
36,Ahipara,NZ,2020-10-27 20:43:29,-35.17,173.17,68.9,63,33,1.41
37,Tautira,PF,2020-10-27 20:43:30,-17.73,-149.15,84.2,74,75,16.11
38,Adrar,MR,2020-10-27 20:43:30,20.5,-10.07,87.17,14,0,14.03
39,Mataura,NZ,2020-10-27 20:43:30,-46.19,168.86,53.01,76,8,1.99
40,Ciudad Bolivar,VE,2020-10-27 20:43:30,8.12,-63.55,89.78,51,34,7.14
41,Vaini,TO,2020-10-27 20:42:13,-21.2,-175.2,75.2,78,40,12.75
42,Aklavik,CA,2020-10-27 20:43:31,68.22,-135.01,10.4,85,75,2.24
43,Punta Arenas,CL,2020-10-27 20:43:31,-53.15,-70.92,50.0,55,65,23.0
44,Sulangan,PH,2020-10-27 20:43:31,11.14,123.72,83.03,73,72,4.47
45,Clyde River,CA,2020-10-27 20:39:51,70.47,-68.59,10.4,66,40,6.93
46,Jamestown,US,2020-10-27 20:43:31,42.1,-79.24,45.0,75,90,5.82
47,Ostrovnoy,RU,2020-10-27 20:43:32,68.05,39.51,42.33,92,100,20.62
48,Tuktoyaktuk,CA,2020-10-27 20:43:32,69.45,-133.04,10.4,92,90,10.29
49,Avarua,CK,2020-10-27 20:41:52,-21.21,-159.78,69.8,88,100,8.05
50,Ilulissat,GL,2020-10-27 20:43:32,69.22,-51.1,19.4,67,40,2.24
51,Tasiilaq,GL,2020-10-27 20:43:32,65.61,-37.64,33.8,43,100,10.29
52,Luganville,VU,2020-10-27 20:43:32,-15.53,167.17,78.8,78,40,8.05
53,Port Alfred,ZA,2020-10-27 20:43:33,-33.59,26.89,65.84,86,20,10.96
54,Sao Gabriel Da Cachoeira,BR,2020-10-27 20:43:33,-0.13,-67.09,88.97,63,100,0.98
55,Lesozavodsk,RU,2020-10-27 20:43:33,45.48,133.42,37.6,81,77,5.08
56,Thompson,CA,2020-10-27 20:38:49,55.74,-97.86,26.6,63,90,8.05
57,East London,ZA,2020-10-27 20:43:33,-33.02,27.91,70.97,85,35,8.08
58,Bethel,US,2020-10-27 20:42:19,41.37,-73.41,55.4,50,1,4.7
59,Lebu,CL,2020-10-27 20:43:34,-37.62,-73.65,53.44,66,97,13.44
60,Isangel,VU,2020-10-27 20:43:34,-19.55,169.27,77.76,73,5,17.13
61,Port Macquarie,AU,2020-10-27 20:41:12,-31.43,152.92,62.01,92,72,1.01
62,Kirkuk,IQ,2020-10-27 20:42:41,35.47,44.39,64.58,25,0,5.35
63,Hilo,US,2020-10-27 20:43:32,19.73,-155.09,78.8,78,90,4.7
64,Upernavik,GL,2020-10-27 20:43:35,72.79,-56.15,17.37,82,0,5.57
65,Chake Chake,TZ,2020-10-27 20:43:35,-5.25,39.77,77.29,82,9,7.4
66,Norman Wells,CA,2020-10-27 20:43:35,65.28,-126.83,19.4,85,75,10.29
67,Aktau,KZ,2020-10-27 20:43:35,43.65,51.2,35.6,74,0,8.95
68,Tavrichanka,RU,2020-10-27 20:43:35,43.34,131.86,44.6,56,32,4.47
69,Lompoc,US,2020-10-27 20:43:36,34.64,-120.46,71.6,21,1,16.11
70,Hualmay,PE,2020-10-27 20:43:36,-11.1,-77.61,67.19,75,100,9.48
71,Daru,PG,2020-10-27 20:43:36,-9.08,143.21,79.93,85,100,6.2
72,Coquimbo,CL,2020-10-27 20:40:31,-29.95,-71.34,59.0,67,40,14.99
73,Yellowknife,CA,2020-10-27 20:43:36,62.46,-114.35,17.6,67,75,11.41
74,Longyearbyen,SJ,2020-10-27 20:43:37,78.22,15.64,32.0,93,75,8.05
75,Vilcun,CL,2020-10-27 20:43:37,-38.65,-72.23,55.4,62,90,13.87
76,Belyy Yar,RU,2020-10-27 20:43:37,53.6,91.39,24.8,100,86,2.24
77,Bonavista,CA,2020-10-27 20:43:37,48.65,-53.11,39.99,82,100,1.01
78,Bumba,CD,2020-10-27 20:43:38,2.18,22.47,72.73,89,84,1.41
79,Souillac,MU,2020-10-27 20:43:38,-20.52,57.52,71.01,78,8,3.0
80,Yarke Pole,UA,2020-10-27 20:43:38,45.61,34.32,56.84,90,0,4.41
81,Havelock,US,2020-10-27 20:43:38,34.88,-76.9,75.99,60,40,6.93
82,Broome,US,2020-10-27 20:43:38,42.25,-75.83,50.0,75,90,5.82
83,Cap Malheureux,MU,2020-10-27 20:43:38,-19.98,57.61,71.01,78,0,3.0
84,Palmeiras De Goias,BR,2020-10-27 20:43:39,-16.8,-49.93,78.13,79,62,2.04
85,Chicama,PE,2020-10-27 20:43:39,-7.84,-79.15,68.0,72,54,11.41
86,Labuan,MY,2020-10-27 20:43:39,5.28,115.24,77.0,94,20,8.34
87,Puerto Ayora,EC,2020-10-27 20:43:04,-0.74,-90.35,78.8,65,75,9.17
88,Hobart,AU,2020-10-27 20:39:43,-42.88,147.33,51.01,93,75,1.12
89,Castro,BR,2020-10-27 20:43:39,-24.79,-50.01,69.85,56,0,4.65
90,Waipawa,NZ,2020-10-27 20:43:40,-41.41,175.52,57.0,66,100,8.05
91,Jember,ID,2020-10-27 20:43:40,-8.17,113.7,74.5,87,100,0.4
92,Ancud,CL,2020-10-27 20:39:34,-41.87,-73.82,48.99,81,90,16.11
93,Mahebourg,MU,2020-10-27 20:43:40,-20.41,57.7,71.01,78,2,3.0
94,Hermanus,ZA,2020-10-27 20:43:41,-34.42,19.23,62.01,91,100,1.01
95,Yankton,US,2020-10-27 20:43:41,42.87,-97.4,33.8,50,1,13.87
96,Chinsali,ZM,2020-10-27 20:43:41,-10.54,32.08,66.61,60,19,3.94
97,Kaitangata,NZ,2020-10-27 20:43:41,-46.28,169.85,53.01,69,4,4.0
98,Podkletnoye,RU,2020-10-27 20:43:41,51.59,39.46,37.4,86,0,8.95
99,Airai,TL,2020-10-27 20:43:41,-8.93,125.41,60.6,100,11,0.98
100,New Norfolk,AU,2020-10-27 20:43:42,-42.78,147.06,51.01,83,76,2.98
101,Ribeira Grande,PT,2020-10-27 20:43:42,38.52,-28.7,62.6,72,40,6.93
102,Cape Town,ZA,2020-10-27 20:43:42,-33.93,18.42,64.99,77,75,5.82
103,Cherskiy,RU,2020-10-27 20:43:42,68.75,161.3,11.3,93,99,7.99
104,Juegang,CN,2020-10-27 20:43:42,32.32,121.19,64.99,1,100,8.48
105,Bluff,NZ,2020-10-27 20:43:42,-46.6,168.33,53.01,76,22,1.99
106,Saskylakh,RU,2020-10-27 20:43:43,71.92,114.08,4.96,93,100,10.22
107,Kasongo-Lunda,CD,2020-10-27 20:43:43,-6.47,16.82,72.3,92,62,0.81
108,Bosaso,SO,2020-10-27 20:43:43,11.28,49.18,72.3,63,8,2.42
109,Sri Aman,MY,2020-10-27 20:43:43,1.24,111.46,75.2,94,100,1.86
110,Port Elizabeth,ZA,2020-10-27 20:43:43,-33.92,25.57,62.6,93,17,21.92
111,Xining,CN,2020-10-27 20:43:44,36.62,101.77,30.09,95,61,1.52
112,Uniontown,US,2020-10-27 20:43:44,39.9,-79.72,55.99,59,95,4.21
113,Sioux Lookout,CA,2020-10-27 20:41:20,50.1,-91.92,28.4,58,90,17.22
114,Poso,ID,2020-10-27 20:43:44,-1.4,120.75,77.0,76,100,5.79
115,Portland,US,2020-10-27 20:43:44,45.52,-122.68,57.99,50,20,4.7
116,Yumen,CN,2020-10-27 20:43:44,40.28,97.2,38.05,70,99,8.14
117,Bambous Virieux,MU,2020-10-27 20:43:45,-20.34,57.76,71.01,78,0,3.0
118,Pacific Grove,US,2020-10-27 20:43:45,36.62,-121.92,73.4,11,1,8.05
119,Sao Filipe,CV,2020-10-27 20:43:45,14.9,-24.5,82.02,69,100,6.8
120,Riverton,US,2020-10-27 20:43:45,40.52,-111.94,43.0,48,1,13.87
