City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Batagay-Alyta,RU,67.8,130.41,4.78,93,100,2.1,light snow
1,Hobart,AU,-42.88,147.33,53.6,81,75,3.36,broken clouds
2,Pasighat,IN,28.07,95.33,68.74,42,2,4.21,clear sky
3,Port Elizabeth,ZA,-33.92,25.57,59.0,77,100,20.8,overcast clouds
4,Bluff,NZ,-46.6,168.33,54.0,91,100,1.99,overcast clouds
5,Mega,ET,4.05,38.3,59.88,96,60,11.12,broken clouds
6,Hilo,US,19.73,-155.09,78.8,65,75,3.36,broken clouds
7,Saurimo,AO,-9.66,20.39,68.16,86,17,2.68,few clouds
8,Ushuaia,AR,-54.8,-68.3,46.4,75,75,32.21,broken clouds
9,Kavieng,PG,-2.57,150.8,81.25,75,100,4.45,light rain
10,Lebu,CL,-37.62,-73.65,55.76,67,0,21.65,clear sky
11,Qaanaaq,GL,77.48,-69.36,5.18,72,0,5.77,clear sky
12,Tasiilaq,GL,65.61,-37.64,32.0,96,75,8.05,light snow
13,Kapaa,US,22.08,-159.32,77.0,64,1,3.36,clear sky
14,Leh,IN,34.17,77.58,29.05,69,41,3.87,scattered clouds
15,Punta Arenas,CL,-53.15,-70.92,53.6,50,40,36.91,scattered clouds
16,Arona,ES,28.1,-16.68,71.6,68,40,11.41,scattered clouds
17,Lasa,IT,46.62,10.7,46.99,86,40,4.7,scattered clouds
18,Troitskoye,RU,52.98,84.68,30.38,98,100,18.21,overcast clouds
19,Ayagoz,KZ,47.97,80.44,29.98,91,93,14.47,overcast clouds
20,Saint-Philippe,RE,-21.36,55.77,69.8,68,40,17.22,scattered clouds
21,Busselton,AU,-33.65,115.33,59.0,45,0,12.75,clear sky
22,Rikitea,PF,-23.12,-134.97,74.79,75,75,11.77,broken clouds
23,Itaberai,BR,-16.02,-49.81,78.4,73,36,1.79,moderate rain
24,Pevek,RU,69.7,170.31,18.75,93,100,7.96,overcast clouds
25,Carutapera,BR,-1.2,-46.02,83.89,69,18,10.42,few clouds
26,Tiksi,RU,71.69,128.87,5.7,93,100,7.96,overcast clouds
27,Kahului,US,20.89,-156.47,80.6,74,90,4.7,overcast clouds
28,Ambilobe,MG,-13.2,49.05,73.24,66,0,6.17,clear sky
29,Avarua,CK,-21.21,-159.78,75.2,78,100,8.05,overcast clouds
30,Jamestown,US,42.1,-79.24,46.0,100,90,5.82,light rain
31,Vaini,TO,-21.2,-175.2,73.4,73,40,10.29,scattered clouds
32,Bilibino,RU,68.05,166.44,0.19,83,45,1.68,scattered clouds
33,Castro,BR,-24.79,-50.01,62.24,90,100,8.1,overcast clouds
34,Guerrero Negro,MX,27.98,-114.06,79.7,17,3,2.66,clear sky
35,Husavik,IS,66.04,-17.34,42.8,75,90,5.82,overcast clouds
36,Provideniya,RU,64.38,-173.3,19.4,62,0,5.99,clear sky
37,Peniche,PT,39.36,-9.38,57.99,81,0,4.81,clear sky
38,Conde,BR,-7.26,-34.91,82.4,65,20,13.87,few clouds
39,Solnechnyy,RU,50.72,136.63,29.21,94,0,2.8,clear sky
40,Bethel,US,41.37,-73.41,45.0,89,100,3.0,moderate rain
41,Albany,US,42.6,-73.97,46.0,90,100,2.75,moderate rain
42,Longyearbyen,SJ,78.22,15.64,21.2,57,40,20.8,scattered clouds
43,Airai,TL,-8.93,125.41,60.49,98,45,1.61,scattered clouds
44,Barrow,US,71.29,-156.79,14.0,85,75,11.41,mist
45,Thompson,CA,55.74,-97.86,26.44,96,100,11.25,light snow
46,Saskylakh,RU,71.92,114.08,-0.08,84,0,4.61,clear sky
47,Mataura,NZ,-46.19,168.86,55.0,90,100,1.99,overcast clouds
48,Yellowknife,CA,62.46,-114.35,23.0,91,2,6.69,clear sky
